,date,open,high,low,close,volume,symbol
0,2019-11-15,15.81,15.9,15.79,15.85,9674421.0,SLV
1,2019-11-14,15.87,15.97,15.77,15.9,9138200.0,SLV
2,2019-11-13,15.82,15.9,15.76,15.83,12072600.0,SLV
3,2019-11-12,15.69,15.73,15.55,15.72,13814100.0,SLV
4,2019-11-11,15.74,15.8,15.57,15.75,14980600.0,SLV
5,2019-11-08,15.77,15.88,15.7,15.7,20152000.0,SLV
6,2019-11-07,16.44,16.46,15.84,16.0,31701700.0,SLV
7,2019-11-06,16.43,16.5,16.39,16.47,11238000.0,SLV
8,2019-11-05,16.59,16.63,16.39,16.44,22623300.0,SLV
9,2019-11-04,16.94,16.97,16.79,16.85,12990100.0,SLV
10,2019-11-01,16.86,16.93,16.82,16.92,13063200.0,SLV
11,2019-10-31,16.86,17.0,16.81,16.92,15539200.0,SLV
12,2019-10-30,16.68,16.73,16.44,16.73,15563700.0,SLV
13,2019-10-29,16.53,16.74,16.5,16.65,13722400.0,SLV
14,2019-10-28,16.8,16.81,16.62,16.68,13873300.0,SLV
15,2019-10-25,17.08,17.11,16.68,16.89,25824800.0,SLV
16,2019-10-24,16.61,16.69,16.57,16.65,14917400.0,SLV
17,2019-10-23,16.43,16.47,16.38,16.39,8500100.0,SLV
18,2019-10-22,16.4,16.46,16.29,16.37,12066000.0,SLV
19,2019-10-21,16.65,16.68,16.38,16.41,17748700.0,SLV
20,2019-10-18,16.38,16.45,16.35,16.41,15861600.0,SLV
21,2019-10-17,16.4,16.5,16.36,16.4,14232300.0,SLV
22,2019-10-16,16.25,16.29,16.15,16.26,15305800.0,SLV
23,2019-10-15,16.39,16.39,16.21,16.27,19735000.0,SLV
24,2019-10-14,16.43,16.55,16.4,16.49,10405900.0,SLV
25,2019-10-11,16.38,16.42,16.21,16.37,28111900.0,SLV
26,2019-10-10,16.47,16.49,16.29,16.37,15056500.0,SLV
27,2019-10-09,16.68,16.68,16.54,16.6,15428500.0,SLV
28,2019-10-08,16.6,16.66,16.49,16.61,19817200.0,SLV
29,2019-10-07,16.38,16.46,16.28,16.3,8379500.0,SLV
30,2019-10-04,16.3,16.46,16.25,16.41,17200800.0,SLV
31,2019-10-03,16.38,16.65,16.37,16.43,24412700.0,SLV
32,2019-10-02,16.33,16.54,16.27,16.43,21300800.0,SLV
33,2019-10-01,15.96,16.21,15.91,16.15,23278100.0,SLV
34,2019-09-30,16.03,16.1,15.83,15.92,29218300.0,SLV
35,2019-09-27,16.26,16.49,16.19,16.36,25234800.0,SLV
36,2019-09-26,16.76,16.89,16.63,16.67,20319100.0,SLV
37,2019-09-25,17.29,17.35,16.67,16.71,29406000.0,SLV
38,2019-09-24,17.2,17.46,17.07,17.44,27612500.0,SLV
39,2019-09-23,17.29,17.51,17.26,17.51,24136900.0,SLV
40,2019-09-20,16.65,16.8,16.61,16.8,14256300.0,SLV
41,2019-09-19,16.72,16.75,16.61,16.62,10522200.0,SLV
42,2019-09-18,16.75,16.84,16.38,16.55,28967300.0,SLV
43,2019-09-17,16.73,16.92,16.66,16.86,12763400.0,SLV
44,2019-09-16,16.71,16.84,16.6,16.74,21190000.0,SLV
45,2019-09-13,16.9,16.94,16.28,16.31,42317000.0,SLV
46,2019-09-12,16.98,17.11,16.85,16.92,29348700.0,SLV
47,2019-09-11,16.8,16.98,16.79,16.95,16979400.0,SLV
48,2019-09-10,16.96,17.01,16.85,16.85,22611900.0,SLV
49,2019-09-09,16.93,17.01,16.8,16.83,26030000.0,SLV
50,2019-09-06,17.49,17.59,16.8,16.87,68358100.0,SLV
51,2019-09-05,17.98,17.98,17.29,17.41,53305900.0,SLV
52,2019-09-04,18.08,18.35,18.05,18.34,34319900.0,SLV
53,2019-09-03,17.59,17.94,17.52,17.89,40436900.0,SLV
54,2019-08-30,17.09,17.26,17.0,17.15,28392700.0,SLV
55,2019-08-29,17.36,17.41,16.88,17.07,52495100.0,SLV
56,2019-08-28,17.15,17.25,17.01,17.17,30866900.0,SLV
57,2019-08-27,16.84,17.04,16.77,17.03,38834200.0,SLV
58,2019-08-26,16.5,16.63,16.45,16.52,22948400.0,SLV
59,2019-08-23,16.04,16.36,15.98,16.35,25967100.0,SLV
60,2019-08-22,15.98,16.05,15.95,15.97,7001000.0,SLV
61,2019-08-21,15.99,16.1,15.95,16.05,12414200.0,SLV
62,2019-08-20,15.91,16.09,15.91,16.05,12223200.0,SLV
63,2019-08-19,15.87,15.94,15.78,15.79,14617900.0,SLV
64,2019-08-16,16.1,16.14,15.97,16.02,16397500.0,SLV
65,2019-08-15,16.13,16.18,16.06,16.13,17036100.0,SLV
