,open,high,low,close,volume,symbol
2019-11-15,26.7800,27.0900,26.7100,26.7400,26479018,GDX
2019-11-14,26.8700,27.0700,26.7400,27.0000,34638700,GDX
2019-11-13,26.7200,27.0100,26.6900,26.7500,36498800,GDX
2019-11-12,26.2800,26.6400,25.9800,26.5900,56886600,GDX
2019-11-11,26.2700,26.4600,26.1500,26.2400,33313500,GDX
2019-11-08,26.2300,26.5800,26.1400,26.2300,42339900,GDX
2019-11-07,27.0200,27.0900,26.3000,26.4900,90744200,GDX
2019-11-06,27.1300,27.4000,26.9100,27.3000,48932900,GDX
2019-11-05,26.9700,27.1400,26.7600,26.9700,62148800,GDX
2019-11-04,27.9200,27.9600,27.4900,27.5200,56660000,GDX
2019-11-01,27.9300,28.1600,27.6500,28.0100,55359000,GDX
2019-10-31,27.7000,28.1800,27.6000,28.1500,79602400,GDX
2019-10-30,27.3000,27.4900,26.7300,27.4500,54901700,GDX
2019-10-29,26.8900,27.4300,26.7700,27.2100,32762400,GDX
2019-10-28,27.4300,27.4400,27.0000,27.0600,60885600,GDX
2019-10-25,28.0100,28.1800,27.3700,27.7400,59960300,GDX
2019-10-24,26.9700,27.5500,26.9400,27.5200,51996000,GDX
2019-10-23,26.6400,27.0200,26.6400,26.8100,47031700,GDX
2019-10-22,26.6700,26.8000,26.2300,26.5400,30749800,GDX
2019-10-21,27.2500,27.3000,26.5000,26.5800,42579000,GDX
2019-10-18,26.9500,27.2400,26.7900,27.1200,31902100,GDX
2019-10-17,26.5000,27.3500,26.4700,27.0800,46186300,GDX
2019-10-16,26.4500,26.7400,26.1900,26.7100,51265100,GDX
2019-10-15,26.8800,26.8800,26.1800,26.1900,61657100,GDX
2019-10-14,27.0400,27.2900,26.9400,27.0700,31850400,GDX
2019-10-11,27.6700,27.7000,26.9100,26.9700,87316400,GDX
2019-10-10,28.0100,28.1600,27.5200,28.0500,39255400,GDX
2019-10-09,28.3500,28.3600,27.8800,28.0500,39219400,GDX
2019-10-08,28.0800,28.3800,27.7900,28.3600,65536200,GDX
2019-10-07,27.6000,27.9900,27.4600,27.5800,37266600,GDX
2019-10-04,27.1500,27.9100,27.1400,27.8700,54465000,GDX
2019-10-03,27.4100,28.0500,27.2400,27.2500,63344000,GDX
2019-10-02,27.4700,27.5000,27.0200,27.4100,65837200,GDX
2019-10-01,26.6200,27.4700,26.5100,26.9200,68625600,GDX
2019-09-30,26.9900,27.3500,26.5400,26.7100,73206900,GDX
2019-09-27,27.5000,27.8400,27.3100,27.4500,74409500,GDX
2019-09-26,28.5500,28.7800,28.0900,28.1100,45715000,GDX
2019-09-25,29.3100,29.3900,28.2100,28.4300,87938400,GDX
2019-09-24,28.8400,29.5800,28.6900,29.4900,57912300,GDX
2019-09-23,28.8100,29.1600,28.7100,29.1600,58025700,GDX
2019-09-20,28.1900,28.6900,27.8600,28.6900,61290700,GDX
2019-09-19,27.8300,28.1800,27.7200,28.1000,47188900,GDX
2019-09-18,28.1100,28.1400,26.9800,27.6200,85193300,GDX
2019-09-17,27.4800,28.2700,27.3800,28.1200,71084100,GDX
2019-09-16,27.2500,27.5100,26.8900,27.2900,68934800,GDX
2019-09-13,27.4100,27.5900,26.6000,26.6400,80728900,GDX
2019-09-12,28.5300,28.7000,27.2300,27.2700,82794900,GDX
2019-09-11,27.6300,28.2100,27.5400,27.7200,78529300,GDX
2019-09-10,27.7000,28.0600,27.4500,27.5100,66585000,GDX
2019-09-09,28.6300,28.7400,27.6300,27.7300,90351900,GDX
2019-09-06,29.5300,29.7600,28.4400,28.4800,88853900,GDX
2019-09-05,30.2300,30.2600,29.1700,29.3100,132635500,GDX
2019-09-04,30.3300,30.9600,30.2900,30.9500,48361200,GDX
2019-09-03,30.2800,30.7600,30.1200,30.3700,69310100,GDX
2019-08-30,29.5300,30.1400,29.4500,29.8600,48728400,GDX
2019-08-29,30.4500,30.4900,29.3900,29.6600,75098400,GDX
2019-08-28,30.6500,30.8100,30.0300,30.4100,54015200,GDX
2019-08-27,29.7100,30.6200,29.6400,30.5600,81770600,GDX
2019-08-26,29.6800,29.9800,29.4000,29.6400,47355700,GDX
2019-08-23,28.6400,29.7000,28.5900,29.6400,92847400,GDX
2019-08-22,28.5700,28.7900,28.3700,28.4900,39469300,GDX
2019-08-21,28.6000,28.8600,28.5500,28.7000,30263600,GDX
2019-08-20,28.1600,28.9700,28.1200,28.8500,73110900,GDX
2019-08-19,27.7500,28.3800,27.6100,27.9300,62746500,GDX
2019-08-16,28.4100,28.6100,28.1300,28.2800,51032100,GDX
2019-08-15,28.3100,28.8700,28.1600,28.7300,46951200,GDX
2019-08-14,28.9200,29.0900,28.3700,28.4100,60301200,GDX
2019-08-13,29.4100,29.4500,27.8100,28.4500,97362100,GDX
2019-08-12,29.5895,29.7500,28.9900,29.0000,62211800,GDX
2019-08-09,29.5500,29.8600,29.3200,29.3600,42424300,GDX
2019-08-08,29.1100,29.8600,28.8700,29.7700,62143900,GDX
2019-08-07,29.5900,30.0000,29.2000,29.2600,91307700,GDX
2019-08-06,28.5900,28.7900,28.3110,28.6700,45760900,GDX
2019-08-05,28.5300,29.0100,28.3400,28.6000,91723900,GDX
2019-08-02,27.7300,28.1100,27.5600,27.7700,46016200,GDX
2019-08-01,26.1000,27.9600,26.0400,27.8500,125771700,GDX
2019-07-31,27.6800,27.8800,26.4200,26.5000,125274600,GDX
2019-07-30,27.8900,28.0000,27.7003,27.8300,29517400,GDX
2019-07-29,27.4000,27.7700,27.2200,27.7700,51527600,GDX
2019-07-26,27.5500,27.6400,27.2300,27.2800,34186900,GDX
2019-07-25,27.9800,27.9800,27.3300,27.4300,66348800,GDX
2019-07-24,28.0700,28.2000,27.8400,28.1500,35305300,GDX
2019-07-23,28.2000,28.4100,27.6500,27.8700,53084900,GDX
2019-07-22,28.0800,28.2900,27.9700,28.1900,38309500,GDX
2019-07-19,27.9100,28.2700,27.6000,27.9800,59357500,GDX
2019-07-18,26.9088,28.3100,26.7700,28.2500,100026700,GDX
2019-07-17,26.1800,27.1000,26.1800,27.0900,45481600,GDX
2019-07-16,26.1400,26.3300,25.9700,26.0500,25081700,GDX
2019-07-15,25.5500,25.5500,25.5500,25.5500,29900000,GDX
2019-07-12,26.0000,26.2450,25.8650,26.2100,31795200,GDX
2019-07-11,26.1300,26.2800,25.7150,25.9400,54013400,GDX
2019-07-10,26.0200,26.2300,25.7700,26.2000,56454300,GDX
2019-07-09,25.3300,25.6600,25.2100,25.6500,37529700,GDX
2019-07-08,25.4500,25.6100,25.2100,25.4200,40606100,GDX
2019-07-05,24.9800,25.4999,24.6800,25.3900,51920800,GDX
2019-07-03,25.6700,25.7000,25.3607,25.6500,24756100,GDX
2019-07-02,24.8900,25.6500,24.8100,25.5500,75815700,GDX
2019-07-01,24.8000,24.9900,24.5300,24.5800,90190700,GDX
2019-06-28,25.4300,25.5950,25.1850,25.5600,39459700,GDX
2019-06-27,25.3100,25.3900,25.1350,25.3300,53004800,GDX
2019-06-26,25.0700,25.7350,25.0500,25.5200,57095000,GDX
2019-06-25,26.2300,26.2500,25.1100,25.6300,103671800,GDX
2019-06-24,25.3079,26.1700,25.2600,26.1700,101843300,GDX
2019-06-21,25.0000,25.2400,24.6750,25.2100,50309800,GDX
2019-06-20,24.6600,25.1700,24.5400,25.0500,131981000,GDX
2019-06-19,23.5200,24.0300,23.4500,24.0000,46273800,GDX
2019-06-18,23.7500,23.8820,23.3450,23.6700,44411200,GDX
2019-06-17,23.3800,23.4700,23.1350,23.4600,50692800,GDX
2019-06-14,23.4500,23.6700,23.1000,23.3300,42220900,GDX
2019-06-13,23.0200,23.2420,22.9400,23.2400,30634300,GDX
2019-06-12,22.7700,23.0839,22.7500,22.9600,35955800,GDX
2019-06-11,22.3500,22.6900,22.3100,22.5900,23522200,GDX
2019-06-10,22.4200,22.5200,22.2440,22.4600,45057300,GDX
2019-06-07,23.0500,23.1200,22.7300,22.8900,41368300,GDX
2019-06-06,22.6600,22.9200,22.6000,22.8700,48981100,GDX
2019-06-05,22.8400,23.0200,22.3400,22.6300,55594800,GDX
2019-06-04,22.1700,22.6200,22.1700,22.5900,40898700,GDX
2019-06-03,22.0300,22.5000,21.9100,22.4900,75414200,GDX
2019-05-31,21.2400,21.7409,21.1900,21.5900,83347600,GDX
2019-05-30,20.4500,20.8100,20.3650,20.7700,25439400,GDX
2019-05-29,20.5200,20.5500,20.3500,20.4200,23992000,GDX
2019-05-28,20.3800,20.5008,20.2800,20.4200,32450100,GDX
2019-05-24,20.5000,20.6200,20.4000,20.5700,15584000,GDX
2019-05-23,20.5600,20.8800,20.4100,20.4400,36332200,GDX
2019-05-22,20.6800,20.7100,20.2600,20.3600,31806200,GDX
2019-05-21,20.5700,20.7300,20.4600,20.7100,13437500,GDX
2019-05-20,20.7000,20.8500,20.6400,20.6800,17628000,GDX
2019-05-17,20.4700,20.7600,20.3900,20.7500,26519000,GDX
2019-05-16,20.6800,20.7350,20.4050,20.5600,32047600,GDX
2019-05-15,20.9500,21.0200,20.7748,20.7900,23251200,GDX
2019-05-14,20.8800,20.9000,20.5900,20.8400,29056100,GDX
2019-05-13,20.6300,20.9900,20.4300,20.9300,65640200,GDX
2019-05-10,20.5500,20.5800,20.2650,20.2800,23309400,GDX
2019-05-09,20.5200,20.7750,20.3920,20.4300,28038400,GDX
2019-05-08,20.9000,20.9900,20.3500,20.4800,30100600,GDX
2019-05-07,20.4100,20.8300,20.2700,20.7100,48972400,GDX
2019-05-06,20.2900,20.4650,20.2200,20.3000,26382900,GDX
2019-05-03,20.3997,20.5900,20.2700,20.2900,26799900,GDX
2019-05-02,20.3200,20.4600,20.1400,20.1700,42758500,GDX
2019-05-01,20.8300,21.1000,20.3500,20.5200,72152500,GDX
2019-04-30,20.8304,21.0300,20.8000,20.8900,19674200,GDX
2019-04-29,21.2200,21.2300,20.7400,20.8400,39572600,GDX
2019-04-26,21.0700,21.4300,21.0500,21.3000,38923200,GDX
2019-04-25,21.0600,21.2100,20.7600,20.8700,29325900,GDX
2019-04-24,20.8100,21.1900,20.6700,21.0200,48993100,GDX
2019-04-23,20.8000,20.9709,20.7100,20.8200,27916300,GDX
2019-04-22,21.4000,21.4200,20.9250,20.9800,44655200,GDX
2019-04-18,21.6100,21.7400,21.1900,21.3400,43979600,GDX
2019-04-17,21.8700,21.9200,21.4900,21.6600,44246100,GDX
2019-04-16,21.9400,22.0100,21.7900,21.8100,46161500,GDX
2019-04-15,21.9800,22.2850,21.8900,22.2200,26720300,GDX
2019-04-12,22.2500,22.3600,22.1400,22.2100,22940800,GDX
2019-04-11,22.3400,22.5400,22.1100,22.2500,57531000,GDX
2019-04-10,22.8000,22.9300,22.5900,22.6200,26181800,GDX
2019-04-09,22.8100,22.8400,22.6500,22.8200,23757000,GDX
2019-04-08,22.7500,22.8000,22.5477,22.6900,30695500,GDX
2019-04-05,22.4200,22.4700,22.2600,22.4300,20384600,GDX
2019-04-04,21.8800,22.5400,21.7900,22.5000,42380400,GDX
2019-04-03,22.1000,22.2650,22.0700,22.0700,24462100,GDX
2019-04-02,21.9789,22.1590,21.9400,22.1000,28698700,GDX
2019-04-01,22.4300,22.5100,21.8300,21.9600,49601800,GDX
2019-03-29,22.6100,22.6490,22.3900,22.4200,35233000,GDX
2019-03-28,22.6500,22.7299,22.3200,22.4100,66841200,GDX
2019-03-27,23.2300,23.3500,22.9850,23.0100,34488200,GDX
2019-03-26,23.0300,23.3800,22.9793,23.3500,41372400,GDX
2019-03-25,22.8700,23.3400,22.8500,23.2600,58308800,GDX
2019-03-22,22.6100,22.8650,22.5300,22.7800,41711400,GDX
2019-03-21,22.7000,22.7800,22.3396,22.7500,41302500,GDX
2019-03-20,22.2000,22.7300,21.8300,22.6300,58485700,GDX
2019-03-19,22.3200,22.3800,22.1220,22.1300,34131500,GDX
2019-03-18,22.4000,22.4400,22.0200,22.0500,31836900,GDX
2019-03-15,22.4000,22.5800,22.1600,22.3000,42292600,GDX
2019-03-14,22.4000,22.4950,22.1800,22.2500,42989400,GDX
2019-03-13,22.8100,22.9679,22.6200,22.8600,31968100,GDX
2019-03-12,22.4100,22.7304,22.3360,22.6800,48840700,GDX
2019-03-11,22.4000,22.5100,21.9900,22.2900,38359700,GDX
2019-03-08,22.2100,22.4000,21.9374,22.3700,59864500,GDX
2019-03-07,21.5200,21.8884,21.5000,21.7900,41501300,GDX
2019-03-06,21.9100,21.9400,21.4700,21.5200,55294000,GDX
2019-03-05,21.7700,21.9700,21.6800,21.9700,30417100,GDX
2019-03-04,21.5600,21.8600,21.4000,21.8500,55000900,GDX
2019-03-01,22.0600,22.3200,21.6900,21.7000,78919200,GDX
2019-02-28,22.3600,22.3600,22.1600,22.2400,32776800,GDX
2019-02-27,22.6000,22.6750,22.2000,22.3500,49023500,GDX
2019-02-26,22.7700,22.8200,22.3600,22.7300,36299000,GDX
2019-02-25,23.0300,23.0900,22.7600,22.7700,47067700,GDX
2019-02-22,23.1200,23.3600,22.9830,23.0600,41676600,GDX
