,open,high,low,close,volume,symbol
2019-11-15,138.0300,138.4208,137.9710,138.2100,7201174,GLD
2019-11-14,138.3900,138.9400,137.8700,138.5600,5220500,GLD
2019-11-13,137.8000,138.2200,137.6400,137.9800,8776000,GLD
2019-11-12,137.0300,137.5900,136.1900,137.4300,6448600,GLD
2019-11-11,137.6100,137.7900,136.4400,137.0600,7037300,GLD
2019-11-08,137.7300,138.3300,137.3900,137.3900,10377400,GLD
2019-11-07,140.1100,140.2000,137.6000,138.2700,15214200,GLD
2019-11-06,140.1200,140.7900,140.0000,140.4500,6416500,GLD
2019-11-05,140.6500,140.8900,139.3800,139.8500,11782300,GLD
2019-11-04,142.2600,142.4500,141.7400,142.1500,4740300,GLD
2019-11-01,142.2100,142.9000,142.0100,142.5600,8090000,GLD
2019-10-31,141.9800,142.6900,141.8900,142.4300,7050900,GLD
2019-10-30,140.5400,141.0400,139.5500,141.0200,6992900,GLD
2019-10-29,140.0000,140.6300,139.7800,140.2500,3835100,GLD
2019-10-28,141.2500,141.2500,140.4000,140.6400,5441600,GLD
2019-10-25,142.7900,142.8300,141.4000,141.8600,6011500,GLD
2019-10-24,141.0200,141.7400,140.9300,141.5300,6174800,GLD
2019-10-23,140.5900,141.0000,140.5000,140.5300,4155300,GLD
2019-10-22,140.1300,140.3000,139.7200,140.2000,3879700,GLD
2019-10-21,140.7200,140.7600,139.6000,139.7900,8306200,GLD
2019-10-18,140.5000,140.7100,140.3200,140.4600,6416100,GLD
2019-10-17,140.5000,141.1200,140.4200,140.6100,6131000,GLD
2019-10-16,140.1400,140.5300,139.7000,140.4100,10330300,GLD
2019-10-15,140.2700,140.3000,139.2100,139.6100,9128300,GLD
2019-10-14,140.4500,140.8200,140.3400,140.5900,4006700,GLD
2019-10-11,139.9700,140.1900,138.9100,140.0300,11333400,GLD
2019-10-10,141.5900,141.6600,140.5800,140.8100,9301700,GLD
2019-10-09,142.1600,142.5800,141.6200,142.0500,6927700,GLD
2019-10-08,142.0300,142.2900,141.1700,141.9200,10428900,GLD
2019-10-07,141.1600,141.7700,140.2400,140.6900,6127200,GLD
2019-10-04,141.4800,142.3100,141.1400,141.9000,9651000,GLD
2019-10-03,141.3600,143.2500,141.2900,141.9000,12396100,GLD
2019-10-02,140.7900,141.8800,140.4600,141.2600,11914300,GLD
2019-10-01,138.0700,140.1900,137.8000,139.6300,12476200,GLD
2019-09-30,139.7700,140.2100,138.0300,138.8700,15459100,GLD
2019-09-27,140.3500,141.6800,140.1600,141.0600,9804200,GLD
2019-09-26,142.1900,142.5700,141.5600,141.7900,7984600,GLD
2019-09-25,144.0800,144.2900,141.4400,141.8300,11648400,GLD
2019-09-24,143.2100,144.7700,142.8800,144.5100,10576300,GLD
2019-09-23,143.2200,143.9400,143.0700,143.7500,9006500,GLD
2019-09-20,141.6100,143.0300,141.4600,142.9500,12110000,GLD
2019-09-19,141.5700,141.7400,141.0900,141.2800,8057400,GLD
2019-09-18,141.9300,142.5300,139.8100,140.7100,15026300,GLD
2019-09-17,141.8200,142.1100,141.2200,141.6000,7010200,GLD
2019-09-16,141.6000,142.0500,141.0200,141.3200,8094600,GLD
2019-09-13,141.7300,141.9900,140.0600,140.1500,13451700,GLD
2019-09-12,142.6800,143.1000,141.1100,141.3200,12673700,GLD
2019-09-11,140.3400,141.2600,140.2800,141.0300,7453000,GLD
2019-09-10,141.2300,141.5300,140.1600,140.1800,12629200,GLD
2019-09-09,142.3700,142.4600,141.1800,141.3900,11323800,GLD
2019-09-06,143.6400,144.0600,141.8600,141.9200,14175200,GLD
2019-09-05,144.9800,145.0100,142.0000,143.1400,20293200,GLD
2019-09-04,145.5400,146.8200,145.5000,146.6600,11285900,GLD
2019-09-03,144.9600,146.1300,144.7400,145.7500,15615200,GLD
2019-08-30,143.8400,144.8800,143.0200,143.7500,9642200,GLD
2019-08-29,145.4000,145.4900,143.2800,144.1200,14762500,GLD
2019-08-28,145.3900,145.6800,144.6400,145.1600,11452400,GLD
2019-08-27,144.3000,145.6800,144.2700,145.5700,12844100,GLD
2019-08-26,144.3500,144.9700,143.9100,144.1900,12195800,GLD
2019-08-23,141.8400,144.3300,141.6400,144.1700,20282200,GLD
2019-08-22,141.3900,141.9000,141.1700,141.4000,6846500,GLD
2019-08-21,141.6200,142.1700,141.4600,141.7600,8114700,GLD
2019-08-20,141.7700,142.2600,141.6000,142.2100,7478500,GLD
2019-08-19,141.3300,141.7900,140.8500,141.1100,10552700,GLD
2019-08-16,142.7500,143.1300,141.8093,142.7800,11728800,GLD
2019-08-15,142.9600,144.0200,142.6100,143.7000,13467800,GLD
2019-08-14,142.9000,143.7535,142.0500,142.7500,20672900,GLD
2019-08-13,143.1786,143.2850,139.3500,141.7800,29842800,GLD
2019-08-12,141.6700,143.3800,141.6400,142.6300,15264000,GLD
2019-08-09,141.2800,142.0300,140.9600,141.2600,9485900,GLD
2019-08-08,140.9000,142.3700,140.7100,141.7300,13108600,GLD
2019-08-07,141.2800,142.4700,140.8800,141.0200,26671100,GLD
2019-08-06,138.3300,139.0300,138.0100,138.9100,9471200,GLD
2019-08-05,137.9300,138.6400,137.0482,137.7900,17519800,GLD
2019-08-02,135.3900,136.6000,135.3700,135.8900,13753200,GLD
2019-08-01,132.4214,136.4300,132.3100,136.4100,27719800,GLD
2019-07-31,135.0300,135.4200,133.0287,133.2100,18797200,GLD
2019-07-30,134.7600,135.1800,134.4100,134.9800,9458700,GLD
2019-07-29,134.0600,134.7300,133.4407,134.5300,9162400,GLD
2019-07-26,134.2400,134.2900,133.5900,133.6400,6249900,GLD
2019-07-25,134.2327,134.2800,133.0900,133.4200,11708200,GLD
2019-07-24,134.5900,134.8400,133.9800,134.3700,6715200,GLD
2019-07-23,134.4300,134.9500,133.5600,133.6900,9981400,GLD
2019-07-22,134.5600,134.8200,134.3200,134.4500,7570400,GLD
2019-07-19,135.4500,136.0300,133.9700,134.4700,18079200,GLD
2019-07-18,133.8300,136.6300,133.6100,136.4800,18448200,GLD
2019-07-17,133.0000,134.6000,132.8900,134.5800,11288300,GLD
2019-07-16,133.1800,133.3000,132.1300,132.4000,7966000,GLD
2019-07-15,133.1743,133.5300,132.8100,133.5300,4026600,GLD
2019-07-12,132.8900,133.6900,132.5300,133.5300,6309500,GLD
2019-07-11,133.5800,133.7000,132.4100,132.7000,7535100,GLD
2019-07-10,132.9352,133.8700,132.3500,133.8300,13920600,GLD
2019-07-09,131.4300,132.1000,131.1600,131.7500,6633400,GLD
2019-07-08,132.1800,132.3400,131.2851,131.2900,8028900,GLD
2019-07-05,131.4600,132.3200,130.8100,132.1400,11536600,GLD
2019-07-03,133.6100,134.1044,133.2300,133.6300,6351500,GLD
2019-07-02,131.2632,133.6300,131.1600,133.4100,13282100,GLD
2019-07-01,131.5600,131.7552,130.5500,130.6200,13317700,GLD
2019-06-28,133.0500,133.3463,132.6100,133.2000,8077000,GLD
2019-06-27,132.3800,132.9700,132.2600,132.8400,8412800,GLD
2019-06-26,132.9900,133.5500,132.4100,132.9700,12016400,GLD
2019-06-25,134.9000,135.5500,133.2100,134.2000,24772200,GLD
2019-06-24,132.7700,134.0350,132.5800,133.9400,17851800,GLD
2019-06-21,131.7700,132.1700,131.0700,131.9800,15068000,GLD
2019-06-20,130.4100,131.4900,130.1850,131.1100,18636300,GLD
2019-06-19,126.7700,127.9900,126.7000,127.8900,11660600,GLD
2019-06-18,127.5800,127.7500,126.3900,127.1200,10309600,GLD
2019-06-17,126.7000,126.7700,126.1700,126.4800,4763300,GLD
2019-06-14,127.2100,127.6300,126.2600,126.5600,9226100,GLD
2019-06-13,126.0300,126.7700,125.9600,126.6000,5374800,GLD
2019-06-12,125.6000,126.2000,125.5600,125.8300,5756200,GLD
2019-06-11,124.9417,125.4000,124.8840,125.1800,4757800,GLD
2019-06-10,125.4600,125.5250,125.0650,125.3300,5410000,GLD
2019-06-07,126.7900,127.2538,126.3200,126.5900,8145900,GLD
2019-06-06,125.9300,126.4500,125.8000,125.8800,5551800,GLD
2019-06-05,126.1800,126.3700,125.2400,125.4700,7637900,GLD
2019-06-04,124.8800,125.4200,124.6100,125.1500,7997100,GLD
2019-06-03,124.0900,125.3400,123.9000,125.1100,14173600,GLD
2019-05-31,122.5500,123.4000,122.3150,123.3300,15367000,GLD
2019-05-30,120.9600,121.6900,120.8000,121.6900,7757000,GLD
2019-05-29,121.1100,121.2603,120.7450,120.8700,4133200,GLD
2019-05-28,120.8000,120.8400,120.4600,120.8300,4303500,GLD
2019-05-24,121.1300,121.3100,120.8900,121.3000,2324700,GLD
2019-05-23,120.8200,121.5200,120.7700,121.1700,6054600,GLD
2019-05-22,120.3500,120.5000,120.1900,120.2400,3741800,GLD
2019-05-21,120.0800,120.3600,119.8300,120.3600,3845600,GLD
2019-05-20,120.5100,120.7400,120.4200,120.6400,4345800,GLD
2019-05-17,121.0300,121.0600,120.3300,120.6500,6589300,GLD
2019-05-16,122.0300,122.0730,121.1900,121.5100,6349400,GLD
2019-05-15,122.7100,122.7650,122.2200,122.3900,10299000,GLD
2019-05-14,122.6000,122.6600,122.1200,122.4600,5556000,GLD
2019-05-13,122.6300,122.8500,122.3250,122.6700,11130900,GLD
2019-05-10,121.4100,121.7300,121.3000,121.4300,4586000,GLD
2019-05-09,120.9600,121.6200,120.8600,121.2000,5015500,GLD
2019-05-08,121.5400,121.5351,120.7700,120.9100,4178800,GLD
2019-05-07,121.0200,121.4200,120.9035,121.2100,4010700,GLD
2019-05-06,120.6100,121.1200,120.5400,120.8100,3479600,GLD
2019-05-03,120.5600,121.0800,120.4750,120.6500,8414400,GLD
2019-05-02,119.6900,120.1100,119.5400,119.9400,6759600,GLD
2019-05-01,121.0300,121.5500,120.1858,120.4000,12331800,GLD
2019-04-30,120.8900,121.3600,120.8500,121.2000,4758600,GLD
2019-04-29,120.8800,120.9100,120.6650,120.8300,4469300,GLD
2019-04-26,121.2600,121.6676,121.2200,121.3700,6022700,GLD
2019-04-25,120.7200,121.0960,120.5000,120.5700,4836900,GLD
2019-04-24,120.0600,120.7200,120.0400,120.4700,4173000,GLD
2019-04-23,119.6700,120.2000,119.5500,120.1200,5574800,GLD
2019-04-22,120.4600,120.5000,120.2700,120.3700,2250900,GLD
2019-04-18,120.2400,120.5400,120.1500,120.3700,4090400,GLD
2019-04-17,120.4600,120.5100,120.1950,120.2800,4693900,GLD
2019-04-16,120.3800,120.6300,120.1900,120.5100,10097800,GLD
2019-04-15,121.2000,121.8200,121.0950,121.6000,4252400,GLD
2019-04-12,121.9600,122.3100,121.8000,121.8300,5272800,GLD
2019-04-11,122.5400,122.7500,121.7900,121.9500,11694500,GLD
2019-04-10,123.2200,123.7746,123.1900,123.5300,6344800,GLD
2019-04-09,123.2600,123.3500,123.0300,123.1500,4648400,GLD
2019-04-08,122.9700,123.0200,122.4000,122.5100,4270800,GLD
2019-04-05,121.8800,122.1300,121.6630,121.9800,5114500,GLD
2019-04-04,121.1000,122.2400,120.9600,122.1100,7508400,GLD
2019-04-03,121.7300,122.0100,121.6750,121.8000,6152200,GLD
2019-04-02,121.7200,122.0100,121.6800,121.9800,4475000,GLD
2019-04-01,122.4000,122.4300,121.4600,121.5300,13560000,GLD
2019-03-29,122.6400,122.7500,122.0100,122.0100,7093900,GLD
2019-03-28,122.2800,122.3550,121.7050,121.9000,11878300,GLD
2019-03-27,124.3500,124.3750,123.5600,123.6500,6595000,GLD
2019-03-26,124.4800,124.5100,124.0700,124.3000,5056100,GLD
2019-03-25,124.5600,125.1100,124.4800,124.9200,7288300,GLD
2019-03-22,123.9300,124.2200,123.7300,123.9700,5874000,GLD
2019-03-21,124.3616,124.3700,123.1100,123.6800,7739800,GLD
2019-03-20,123.6600,124.4200,122.6500,124.1800,11304900,GLD
2019-03-19,123.7200,123.7900,123.3400,123.3800,6558700,GLD
2019-03-18,123.3000,123.4000,122.8900,123.0400,7783200,GLD
2019-03-15,123.0600,123.4000,122.9130,122.9700,9412000,GLD
2019-03-14,122.3300,122.5450,122.1200,122.4100,6778200,GLD
2019-03-13,123.5534,123.8800,123.4250,123.8400,7377300,GLD
2019-03-12,122.5400,123.0300,122.4000,122.9800,6289900,GLD
2019-03-11,122.5200,122.5400,121.9200,122.2400,6708700,GLD
2019-03-08,122.7000,122.8900,122.3700,122.8400,10427700,GLD
2019-03-07,121.2700,121.7100,121.1800,121.5100,6088800,GLD
2019-03-06,121.4300,121.6400,121.2600,121.6100,4820400,GLD
2019-03-05,121.3800,121.7300,121.0300,121.7200,7120100,GLD
2019-03-04,121.5600,121.8500,121.1800,121.5600,10272600,GLD
2019-03-01,123.4856,123.9600,121.8700,121.8800,16411700,GLD
2019-02-28,124.7100,124.7100,123.9800,123.9900,7811700,GLD
2019-02-27,125.1700,125.2260,124.4000,124.6900,7935600,GLD
2019-02-26,125.3300,125.6170,125.0500,125.5800,5153200,GLD
2019-02-25,125.7800,125.9000,125.2300,125.3700,4882600,GLD
2019-02-22,125.5300,125.9500,125.3872,125.5000,5439400,GLD
2019-02-21,126.1500,126.2200,125.0500,125.0500,8634600,GLD
2019-02-20,126.9905,127.2100,126.3100,126.4800,8889700,GLD
2019-02-19,125.9800,126.7900,125.9300,126.7000,15614000,GLD
2019-02-15,124.5900,125.0000,124.1800,124.8000,12190100,GLD
2019-02-14,123.8400,124.2000,123.5300,124.0600,6276500,GLD
2019-02-13,123.8400,124.5507,123.3100,123.3700,7640500,GLD
2019-02-12,123.9600,124.0300,123.6100,123.8600,4271900,GLD
2019-02-11,123.1900,123.8200,123.1900,123.6000,4821800,GLD
2019-02-08,124.0561,124.3300,123.9800,124.2100,4235200,GLD
2019-02-07,123.8000,123.9500,123.4370,123.7400,5935500,GLD
2019-02-06,124.1600,124.1900,123.4000,123.4400,6595100,GLD
2019-02-05,124.2900,124.4200,124.0529,124.2800,6291100,GLD
2019-02-04,123.9900,124.2900,123.8200,123.9600,6878900,GLD
2019-02-01,124.8900,125.0500,124.3700,124.5000,12485500,GLD
2019-01-31,125.1877,125.2300,124.6200,124.7500,10209500,GLD
2019-01-30,123.9100,125.0700,123.7000,124.6900,12104000,GLD
