,open,high,low,close,volume,symbol
2019-11-15,29.6300,29.9000,29.5861,29.6200,65533,SIL
2019-11-14,29.8000,29.9100,29.5600,29.7900,84500,SIL
2019-11-13,29.8800,30.0300,29.7500,29.7900,102800,SIL
2019-11-12,29.4700,29.6600,28.9400,29.5800,193100,SIL
2019-11-11,29.4500,29.6900,29.2400,29.5400,93300,SIL
2019-11-08,29.1600,29.7200,29.1500,29.4500,163200,SIL
2019-11-07,29.8400,29.9800,29.1100,29.5100,227100,SIL
2019-11-06,29.8900,30.2400,29.7000,30.0300,111000,SIL
2019-11-05,29.7700,29.8900,29.5300,29.8200,167300,SIL
2019-11-04,30.5800,30.6900,30.0700,30.2400,288600,SIL
2019-11-01,30.2000,30.6700,30.1100,30.6200,155400,SIL
2019-10-31,30.0700,30.4900,30.0000,30.3700,272000,SIL
2019-10-30,29.4000,29.7900,29.1000,29.7000,112800,SIL
2019-10-29,28.9000,29.4900,28.7600,29.3400,87500,SIL
2019-10-28,29.5700,29.5700,28.9600,29.1300,160400,SIL
2019-10-25,29.8800,30.1500,29.4000,29.7900,335300,SIL
2019-10-24,28.8700,29.2800,28.8000,29.2100,177900,SIL
2019-10-23,28.5300,28.8200,28.4400,28.5400,86200,SIL
2019-10-22,28.4800,28.6300,28.2500,28.5300,110600,SIL
2019-10-21,29.0600,29.1000,28.3900,28.4500,117600,SIL
2019-10-18,28.6300,28.9700,28.5000,28.7900,39500,SIL
2019-10-17,28.1000,28.9000,28.1000,28.7300,173500,SIL
2019-10-16,27.6800,28.0700,27.5500,28.0600,140500,SIL
2019-10-15,28.3100,28.3100,27.4700,27.4900,541700,SIL
2019-10-14,28.2300,28.5400,28.2300,28.3000,90500,SIL
2019-10-11,28.8000,28.8000,28.1400,28.1900,209400,SIL
2019-10-10,28.6900,28.9800,28.3400,28.9500,129100,SIL
2019-10-09,29.2800,29.3600,28.6500,28.7300,160300,SIL
2019-10-08,28.8800,29.2200,28.7700,29.1900,154200,SIL
2019-10-07,28.7600,28.9000,28.4600,28.5400,106000,SIL
2019-10-04,28.2900,28.9100,28.1200,28.8700,158000,SIL
2019-10-03,28.3900,29.0000,28.3000,28.3100,177600,SIL
2019-10-02,28.5800,28.6000,28.1400,28.4100,160000,SIL
2019-10-01,27.9500,28.6400,27.8500,28.2200,160400,SIL
2019-09-30,28.5600,28.9000,27.9200,28.1100,357600,SIL
2019-09-27,29.2500,29.4600,28.7600,29.1000,165700,SIL
2019-09-26,30.0900,30.2800,29.5800,29.6600,193700,SIL
2019-09-25,31.0300,31.0300,29.6500,29.8700,347000,SIL
2019-09-24,30.6100,31.2400,30.3100,31.2000,338900,SIL
2019-09-23,30.2000,30.8700,30.2000,30.8000,485600,SIL
2019-09-20,29.6000,29.9200,29.3400,29.9100,250900,SIL
2019-09-19,29.3700,29.5500,29.2000,29.4000,92600,SIL
2019-09-18,29.8300,29.8300,28.6000,29.2000,283000,SIL
2019-09-17,29.1800,29.8600,29.0100,29.8000,186300,SIL
2019-09-16,29.1500,29.4200,28.6500,29.1400,244700,SIL
2019-09-13,29.4500,29.7900,28.6400,28.6500,432600,SIL
2019-09-12,30.4000,30.6900,29.4500,29.5000,363800,SIL
2019-09-11,29.5100,30.2100,29.5100,29.8600,291400,SIL
2019-09-10,29.2200,29.7800,28.9000,29.4500,332200,SIL
2019-09-09,29.9000,30.0600,28.9800,29.2700,448400,SIL
2019-09-06,30.7500,31.1200,29.8000,29.8400,486300,SIL
2019-09-05,31.6300,31.7200,30.3900,30.7500,954900,SIL
2019-09-04,31.9000,32.2600,31.8100,32.2200,719400,SIL
2019-09-03,31.3300,32.1400,31.3300,31.8000,716800,SIL
2019-08-30,30.5700,31.1900,30.5500,30.8700,373100,SIL
2019-08-29,31.4800,31.6000,30.3400,30.6900,744000,SIL
2019-08-28,31.3900,31.7800,30.8800,31.3500,706200,SIL
2019-08-27,30.0600,31.2500,30.0600,31.1600,898600,SIL
2019-08-26,29.9900,30.2100,29.6100,29.7500,506600,SIL
2019-08-23,28.8500,29.8000,28.8500,29.7400,503200,SIL
2019-08-22,28.7300,28.9000,28.6100,28.6100,195800,SIL
2019-08-21,28.6700,28.9600,28.5600,28.8400,194000,SIL
2019-08-20,28.0000,28.8800,27.9400,28.7100,282800,SIL
2019-08-19,27.6200,28.2100,27.3500,27.8700,463300,SIL
2019-08-16,28.4197,28.5800,28.0400,28.2000,344600,SIL
2019-08-15,28.3886,28.7500,28.1200,28.5800,297600,SIL
2019-08-14,29.1400,29.1900,28.3300,28.3900,563700,SIL
2019-08-13,29.8000,29.8000,28.1000,28.5900,854700,SIL
2019-08-12,29.7200,29.9000,29.1900,29.3600,358300,SIL
2019-08-09,29.5400,29.8750,29.4100,29.4600,528200,SIL
2019-08-08,28.8100,29.9500,28.5810,29.7900,1575800,SIL
2019-08-07,29.3200,29.6730,28.8500,28.9600,1059200,SIL
2019-08-06,28.3300,28.6500,28.1800,28.5000,542100,SIL
2019-08-05,28.4100,28.9900,28.2900,28.3300,630500,SIL
2019-08-02,28.0100,28.2000,27.5500,27.6400,381900,SIL
2019-08-01,26.8000,28.3600,26.5100,28.2400,623700,SIL
2019-07-31,28.3993,28.4200,27.2300,27.2700,757000,SIL
2019-07-30,28.6000,28.8300,28.3400,28.5900,390900,SIL
2019-07-29,28.4500,28.7800,28.1600,28.7500,284000,SIL
2019-07-26,28.6600,28.8400,28.2500,28.4200,290700,SIL
2019-07-25,29.4200,29.4188,28.5200,28.6500,447700,SIL
2019-07-24,29.0600,29.5200,29.0300,29.5000,415700,SIL
2019-07-23,29.0800,29.3200,28.5300,28.7000,559500,SIL
2019-07-22,28.8882,29.2200,28.7500,29.0800,771800,SIL
2019-07-19,29.1600,29.4600,28.4495,28.6300,1117500,SIL
2019-07-18,28.3500,29.2700,28.0000,29.2000,889900,SIL
2019-07-17,27.2800,28.3700,27.2800,28.3200,658900,SIL
2019-07-16,26.5100,27.3000,26.4300,27.0700,586200,SIL
2019-07-15,26.3900,26.4300,26.1400,26.3700,174700,SIL
2019-07-12,26.1400,26.4100,26.1000,26.3200,121500,SIL
2019-07-11,26.5000,26.5000,25.8700,26.1000,160300,SIL
2019-07-10,26.3400,26.4500,26.0100,26.4200,264200,SIL
2019-07-09,25.9900,26.0907,25.7500,25.9700,277300,SIL
2019-07-08,26.4300,26.4400,26.0700,26.1100,127400,SIL
2019-07-05,26.1000,26.4100,25.8600,26.3400,161000,SIL
2019-07-03,26.6400,26.7900,26.4600,26.5900,105700,SIL
2019-07-02,26.1200,26.6740,25.9300,26.6400,252800,SIL
2019-07-01,26.2000,26.3300,25.7770,25.8100,138000,SIL
2019-06-28,26.7400,26.8400,26.6100,26.8100,127100,SIL
2019-06-27,26.6600,26.7515,26.4800,26.6500,159300,SIL
2019-06-26,26.7300,27.1600,26.5800,26.9700,200600,SIL
2019-06-25,27.3500,27.5460,26.6700,27.0900,417800,SIL
2019-06-24,26.6900,27.2700,26.6000,27.2100,547500,SIL
2019-06-21,26.4200,26.5410,26.0600,26.4200,1636000,SIL
2019-06-20,26.2600,26.5000,26.0500,26.4000,760300,SIL
2019-06-19,25.0000,25.4300,24.9050,25.2900,82100,SIL
2019-06-18,25.2700,25.3800,24.8950,25.0900,129500,SIL
2019-06-17,24.8200,24.9750,24.7000,24.9400,48600,SIL
2019-06-14,25.1100,25.2800,24.5500,24.7500,173400,SIL
2019-06-13,24.5100,24.8720,24.4500,24.8400,77100,SIL
2019-06-12,24.4400,24.6100,24.4000,24.5000,105600,SIL
2019-06-11,23.8500,24.3100,23.8500,24.2400,48100,SIL
2019-06-10,23.9000,24.0004,23.7500,23.9000,208400,SIL
2019-06-07,24.3700,24.5700,24.1100,24.2000,176300,SIL
2019-06-06,24.1000,24.3000,23.9200,24.0900,107200,SIL
2019-06-05,24.1100,24.4000,23.7300,23.9800,139000,SIL
2019-06-04,23.7500,24.0680,23.6500,23.9600,256100,SIL
2019-06-03,23.3100,23.9700,23.3100,23.8800,563700,SIL
2019-05-31,22.6103,23.0600,22.6100,23.0500,180300,SIL
2019-05-30,22.2000,22.4700,22.0700,22.4400,151000,SIL
2019-05-29,21.9900,22.1400,21.9900,22.0500,79300,SIL
2019-05-28,22.1500,22.3300,21.9130,21.9800,152600,SIL
2019-05-24,22.1500,22.3900,22.0290,22.3100,284800,SIL
2019-05-23,22.0700,22.4200,22.0300,22.0400,537700,SIL
2019-05-22,22.5390,22.7700,21.9620,22.0000,80800,SIL
2019-05-21,22.3500,22.5600,22.1300,22.4200,149000,SIL
2019-05-20,22.6100,22.7200,22.3620,22.3900,88400,SIL
2019-05-17,22.4200,22.5900,22.3200,22.5900,66800,SIL
2019-05-16,22.8900,23.0300,22.4500,22.5100,231900,SIL
2019-05-15,22.9900,23.1600,22.8900,22.9500,71700,SIL
2019-05-14,23.2000,23.3600,22.8600,22.9400,110900,SIL
2019-05-13,22.8600,23.2000,22.7150,23.1000,106200,SIL
2019-05-10,23.1688,23.1700,22.8100,22.8800,333300,SIL
2019-05-09,23.4700,23.5100,23.0485,23.0500,88200,SIL
2019-05-08,24.1500,24.3100,23.5000,23.5750,86600,SIL
2019-05-07,23.7700,24.1248,23.5500,24.0400,57600,SIL
2019-05-06,23.7024,23.8700,23.5600,23.7500,116700,SIL
2019-05-03,23.6200,24.0080,23.6200,23.8000,83900,SIL
2019-05-02,23.8500,23.8720,23.4000,23.4600,195400,SIL
2019-05-01,24.4000,24.6500,23.9660,24.0200,93600,SIL
2019-04-30,24.3400,24.5900,24.3400,24.4600,45700,SIL
2019-04-29,24.6700,24.7800,24.3000,24.3100,96100,SIL
2019-04-26,24.1500,24.7992,24.1500,24.7600,85500,SIL
2019-04-25,24.1500,24.3000,24.0000,24.0400,60100,SIL
2019-04-24,24.1100,24.3000,23.9300,24.1700,267800,SIL
2019-04-23,24.1100,24.2800,24.0200,24.1800,142300,SIL
2019-04-22,24.6900,24.8200,24.2900,24.3700,99100,SIL
2019-04-18,24.8900,25.0890,24.6000,24.6500,108000,SIL
